      Datetime      ,  Rain (mm)
2026-04-02 01:00 WIB, 0.00
2026-04-02 04:00 WIB, 0.00
2026-04-02 07:00 WIB, 0.00
2026-04-02 10:00 WIB, 4.90
2026-04-02 13:00 WIB, 11.32
2026-04-02 16:00 WIB, 14.45
2026-04-02 19:00 WIB, 7.62
2026-04-02 22:00 WIB, 9.60
2026-04-03 01:00 WIB, 0.58
2026-04-03 04:00 WIB, 0.00
2026-04-03 07:00 WIB, 0.00
2026-04-03 10:00 WIB, 1.56
2026-04-03 13:00 WIB, 10.52
2026-04-03 16:00 WIB, 6.74
2026-04-03 19:00 WIB, 5.71
2026-04-03 22:00 WIB, 6.74
2026-04-04 01:00 WIB, 0.00
2026-04-04 04:00 WIB, 0.00
2026-04-04 07:00 WIB, 0.00
2026-04-04 10:00 WIB, 0.65
2026-04-04 13:00 WIB, 2.51
2026-04-04 16:00 WIB, 5.59
2026-04-04 19:00 WIB, 0.00
2026-04-04 22:00 WIB, 0.00
2026-04-05 01:00 WIB, 0.00
2026-04-05 04:00 WIB, 0.00
2026-04-05 07:00 WIB, 0.00
2026-04-05 10:00 WIB, 0.00
2026-04-05 13:00 WIB, 0.00
2026-04-05 16:00 WIB, 7.55
2026-04-05 19:00 WIB, 1.47
2026-04-05 22:00 WIB, 0.00
2026-04-06 01:00 WIB, 0.00
2026-04-06 04:00 WIB, 0.00
2026-04-06 07:00 WIB, 0.00
2026-04-06 10:00 WIB, 0.00
2026-04-06 13:00 WIB, 5.28
2026-04-06 16:00 WIB, 14.24
2026-04-06 19:00 WIB, 5.72
2026-04-06 22:00 WIB, 1.17
2026-04-07 01:00 WIB, 0.95
