      Datetime      ,  Rain (mm)
2026-02-03 13:00 WIB, 4.33
2026-02-03 16:00 WIB, 2.41
2026-02-03 19:00 WIB, 0.33
2026-02-03 22:00 WIB, 0.80
2026-02-04 01:00 WIB, 1.38
2026-02-04 04:00 WIB, 0.57
2026-02-04 07:00 WIB, 0.01
2026-02-04 10:00 WIB, 0.01
2026-02-04 13:00 WIB, 2.62
2026-02-04 16:00 WIB, 1.63
2026-02-04 19:00 WIB, 2.07
2026-02-04 22:00 WIB, 0.08
2026-02-05 01:00 WIB, 0.00
2026-02-05 04:00 WIB, 0.00
2026-02-05 07:00 WIB, 0.00
2026-02-05 10:00 WIB, 0.00
2026-02-05 13:00 WIB, 1.61
2026-02-05 16:00 WIB, 3.31
2026-02-05 19:00 WIB, 2.04
2026-02-05 22:00 WIB, 0.00
2026-02-06 01:00 WIB, 0.00
2026-02-06 04:00 WIB, 0.00
2026-02-06 07:00 WIB, 0.00
2026-02-06 10:00 WIB, 0.10
2026-02-06 13:00 WIB, 2.21
2026-02-06 16:00 WIB, 6.18
2026-02-06 19:00 WIB, 1.06
2026-02-06 22:00 WIB, 0.00
2026-02-07 01:00 WIB, 0.00
2026-02-07 04:00 WIB, 0.00
2026-02-07 07:00 WIB, 0.00
2026-02-07 10:00 WIB, 0.00
2026-02-07 13:00 WIB, 0.01
2026-02-07 16:00 WIB, 0.05
2026-02-07 19:00 WIB, 0.26
2026-02-07 22:00 WIB, 0.00
2026-02-08 01:00 WIB, 0.00
2026-02-08 04:00 WIB, 0.00
2026-02-08 07:00 WIB, 0.00
2026-02-08 10:00 WIB, 0.00
2026-02-08 13:00 WIB, 0.00
