      Datetime      ,  Rain (mm)
2026-02-19 13:00 WIB, 3.54
2026-02-19 16:00 WIB, 1.90
2026-02-19 19:00 WIB, 0.00
2026-02-19 22:00 WIB, 0.45
2026-02-20 01:00 WIB, 0.69
2026-02-20 04:00 WIB, 0.54
2026-02-20 07:00 WIB, 0.50
2026-02-20 10:00 WIB, 0.24
2026-02-20 13:00 WIB, 0.00
2026-02-20 16:00 WIB, 0.00
2026-02-20 19:00 WIB, 0.00
2026-02-20 22:00 WIB, 0.00
2026-02-21 01:00 WIB, 0.28
2026-02-21 04:00 WIB, 0.00
2026-02-21 07:00 WIB, 0.18
2026-02-21 10:00 WIB, 0.14
2026-02-21 13:00 WIB, 0.15
2026-02-21 16:00 WIB, 0.00
2026-02-21 19:00 WIB, 0.00
2026-02-21 22:00 WIB, 0.00
2026-02-22 01:00 WIB, 0.00
2026-02-22 04:00 WIB, 0.00
2026-02-22 07:00 WIB, 0.00
2026-02-22 10:00 WIB, 0.29
2026-02-22 13:00 WIB, 1.61
2026-02-22 16:00 WIB, 3.80
2026-02-22 19:00 WIB, 0.24
2026-02-22 22:00 WIB, 0.00
2026-02-23 01:00 WIB, 0.00
2026-02-23 04:00 WIB, 0.00
2026-02-23 07:00 WIB, 0.00
2026-02-23 10:00 WIB, 0.01
2026-02-23 13:00 WIB, 1.13
2026-02-23 16:00 WIB, 3.62
2026-02-23 19:00 WIB, 0.00
2026-02-23 22:00 WIB, 0.43
2026-02-24 01:00 WIB, 0.39
2026-02-24 04:00 WIB, 0.00
2026-02-24 07:00 WIB, 0.00
2026-02-24 10:00 WIB, 0.00
2026-02-24 13:00 WIB, 1.39
