      Datetime      ,  Rain (mm)
2026-02-18 13:00 WIB, 3.27
2026-02-18 16:00 WIB, 3.30
2026-02-18 19:00 WIB, 1.59
2026-02-18 22:00 WIB, 0.00
2026-02-19 01:00 WIB, 0.00
2026-02-19 04:00 WIB, 0.10
2026-02-19 07:00 WIB, 0.00
2026-02-19 10:00 WIB, 0.09
2026-02-19 13:00 WIB, 0.00
2026-02-19 16:00 WIB, 0.06
2026-02-19 19:00 WIB, 0.00
2026-02-19 22:00 WIB, 0.00
2026-02-20 01:00 WIB, 0.52
2026-02-20 04:00 WIB, 0.52
2026-02-20 07:00 WIB, 0.36
2026-02-20 10:00 WIB, 0.30
2026-02-20 13:00 WIB, 1.84
2026-02-20 16:00 WIB, 0.00
2026-02-20 19:00 WIB, 0.00
2026-02-20 22:00 WIB, 0.00
2026-02-21 01:00 WIB, 0.32
2026-02-21 04:00 WIB, 0.47
2026-02-21 07:00 WIB, 1.31
2026-02-21 10:00 WIB, 0.88
2026-02-21 13:00 WIB, 0.61
2026-02-21 16:00 WIB, 0.00
2026-02-21 19:00 WIB, 0.00
2026-02-21 22:00 WIB, 0.00
2026-02-22 01:00 WIB, 0.00
2026-02-22 04:00 WIB, 0.00
2026-02-22 07:00 WIB, 0.12
2026-02-22 10:00 WIB, 1.21
2026-02-22 13:00 WIB, 3.45
2026-02-22 16:00 WIB, 0.00
2026-02-22 19:00 WIB, 0.00
2026-02-22 22:00 WIB, 0.00
2026-02-23 01:00 WIB, 0.15
2026-02-23 04:00 WIB, 0.00
2026-02-23 07:00 WIB, 0.00
2026-02-23 10:00 WIB, 0.18
2026-02-23 13:00 WIB, 0.38
