      Datetime      ,  Rain (mm)
2026-02-15 13:00 WIB, 0.81
2026-02-15 16:00 WIB, 6.04
2026-02-15 19:00 WIB, 0.95
2026-02-15 22:00 WIB, 0.86
2026-02-16 01:00 WIB, 0.11
2026-02-16 04:00 WIB, 0.00
2026-02-16 07:00 WIB, 0.00
2026-02-16 10:00 WIB, 0.62
2026-02-16 13:00 WIB, 2.75
2026-02-16 16:00 WIB, 2.14
2026-02-16 19:00 WIB, 1.00
2026-02-16 22:00 WIB, 0.00
2026-02-17 01:00 WIB, 0.11
2026-02-17 04:00 WIB, 0.08
2026-02-17 07:00 WIB, 0.02
2026-02-17 10:00 WIB, 2.41
2026-02-17 13:00 WIB, 0.83
2026-02-17 16:00 WIB, 0.20
2026-02-17 19:00 WIB, 0.00
2026-02-17 22:00 WIB, 0.00
2026-02-18 01:00 WIB, 0.83
2026-02-18 04:00 WIB, 0.95
2026-02-18 07:00 WIB, 1.76
2026-02-18 10:00 WIB, 0.28
2026-02-18 13:00 WIB, 1.56
2026-02-18 16:00 WIB, 0.17
2026-02-18 19:00 WIB, 0.00
2026-02-18 22:00 WIB, 0.01
2026-02-19 01:00 WIB, 0.00
2026-02-19 04:00 WIB, 0.00
2026-02-19 07:00 WIB, 0.00
2026-02-19 10:00 WIB, 0.01
2026-02-19 13:00 WIB, 0.00
2026-02-19 16:00 WIB, 0.00
2026-02-19 19:00 WIB, 0.00
2026-02-19 22:00 WIB, 0.11
2026-02-20 01:00 WIB, 0.25
2026-02-20 04:00 WIB, 0.00
2026-02-20 07:00 WIB, 0.47
2026-02-20 10:00 WIB, 1.21
2026-02-20 13:00 WIB, 0.41
