      Datetime      ,  Rain (mm)
2026-03-20 13:00 WIB, 7.31
2026-03-20 16:00 WIB, 9.46
2026-03-20 19:00 WIB, 5.96
2026-03-20 22:00 WIB, 2.97
2026-03-21 01:00 WIB, 1.04
2026-03-21 04:00 WIB, 1.06
2026-03-21 07:00 WIB, 0.00
2026-03-21 10:00 WIB, 0.00
2026-03-21 13:00 WIB, 0.37
2026-03-21 16:00 WIB, 2.94
2026-03-21 19:00 WIB, 5.14
2026-03-21 22:00 WIB, 0.04
2026-03-22 01:00 WIB, 0.00
2026-03-22 04:00 WIB, 0.00
2026-03-22 07:00 WIB, 0.00
2026-03-22 10:00 WIB, 0.00
2026-03-22 13:00 WIB, 0.00
2026-03-22 16:00 WIB, 4.46
2026-03-22 19:00 WIB, 2.44
2026-03-22 22:00 WIB, 0.51
2026-03-23 01:00 WIB, 0.00
2026-03-23 04:00 WIB, 0.00
2026-03-23 07:00 WIB, 0.00
2026-03-23 10:00 WIB, 0.00
2026-03-23 13:00 WIB, 0.00
2026-03-23 16:00 WIB, 0.00
2026-03-23 19:00 WIB, 0.46
2026-03-23 22:00 WIB, 0.00
2026-03-24 01:00 WIB, 0.00
2026-03-24 04:00 WIB, 0.00
2026-03-24 07:00 WIB, 0.00
2026-03-24 10:00 WIB, 0.00
2026-03-24 13:00 WIB, 0.00
2026-03-24 16:00 WIB, 0.00
2026-03-24 19:00 WIB, 0.64
2026-03-24 22:00 WIB, 0.18
2026-03-25 01:00 WIB, 0.00
2026-03-25 04:00 WIB, 0.00
2026-03-25 07:00 WIB, 0.00
2026-03-25 10:00 WIB, 0.00
2026-03-25 13:00 WIB, 0.32
