      Datetime      ,  Rain (mm)
2026-03-22 13:00 WIB, 1.60
2026-03-22 16:00 WIB, 4.23
2026-03-22 19:00 WIB, 0.03
2026-03-22 22:00 WIB, 0.00
2026-03-23 01:00 WIB, 0.00
2026-03-23 04:00 WIB, 0.00
2026-03-23 07:00 WIB, 0.00
2026-03-23 10:00 WIB, 0.00
2026-03-23 13:00 WIB, 0.00
2026-03-23 16:00 WIB, 0.01
2026-03-23 19:00 WIB, 1.61
2026-03-23 22:00 WIB, 0.00
2026-03-24 01:00 WIB, 0.00
2026-03-24 04:00 WIB, 0.00
2026-03-24 07:00 WIB, 0.00
2026-03-24 10:00 WIB, 0.00
2026-03-24 13:00 WIB, 0.00
2026-03-24 16:00 WIB, 1.66
2026-03-24 19:00 WIB, 3.22
2026-03-24 22:00 WIB, 0.36
2026-03-25 01:00 WIB, 0.00
2026-03-25 04:00 WIB, 0.00
2026-03-25 07:00 WIB, 0.00
2026-03-25 10:00 WIB, 0.00
2026-03-25 13:00 WIB, 0.11
2026-03-25 16:00 WIB, 1.23
2026-03-25 19:00 WIB, 0.45
2026-03-25 22:00 WIB, 0.32
2026-03-26 01:00 WIB, 0.00
2026-03-26 04:00 WIB, 0.00
2026-03-26 07:00 WIB, 0.00
2026-03-26 10:00 WIB, 0.00
2026-03-26 13:00 WIB, 0.02
2026-03-26 16:00 WIB, 0.37
2026-03-26 19:00 WIB, 0.33
2026-03-26 22:00 WIB, 0.29
2026-03-27 01:00 WIB, 0.00
2026-03-27 04:00 WIB, 0.03
2026-03-27 07:00 WIB, 0.17
2026-03-27 10:00 WIB, 1.45
2026-03-27 13:00 WIB, 1.78
