      Datetime      ,  Rain (mm)
2026-02-13 13:00 WIB, 0.00
2026-02-13 16:00 WIB, 1.14
2026-02-13 19:00 WIB, 0.02
2026-02-13 22:00 WIB, 0.19
2026-02-14 01:00 WIB, 0.00
2026-02-14 04:00 WIB, 0.00
2026-02-14 07:00 WIB, 0.00
2026-02-14 10:00 WIB, 0.00
2026-02-14 13:00 WIB, 0.93
2026-02-14 16:00 WIB, 3.14
2026-02-14 19:00 WIB, 0.91
2026-02-14 22:00 WIB, 0.00
2026-02-15 01:00 WIB, 0.00
2026-02-15 04:00 WIB, 0.00
2026-02-15 07:00 WIB, 0.00
2026-02-15 10:00 WIB, 0.00
2026-02-15 13:00 WIB, 0.01
2026-02-15 16:00 WIB, 1.76
2026-02-15 19:00 WIB, 2.79
2026-02-15 22:00 WIB, 0.00
2026-02-16 01:00 WIB, 0.00
2026-02-16 04:00 WIB, 0.00
2026-02-16 07:00 WIB, 0.00
2026-02-16 10:00 WIB, 0.00
2026-02-16 13:00 WIB, 0.00
2026-02-16 16:00 WIB, 0.00
2026-02-16 19:00 WIB, 0.00
2026-02-16 22:00 WIB, 0.00
2026-02-17 01:00 WIB, 0.00
2026-02-17 04:00 WIB, 0.00
2026-02-17 07:00 WIB, 0.00
2026-02-17 10:00 WIB, 0.00
2026-02-17 13:00 WIB, 2.81
2026-02-17 16:00 WIB, 0.44
2026-02-17 19:00 WIB, 0.37
2026-02-17 22:00 WIB, 0.00
2026-02-18 01:00 WIB, 0.00
2026-02-18 04:00 WIB, 0.03
2026-02-18 07:00 WIB, 0.49
2026-02-18 10:00 WIB, 0.76
2026-02-18 13:00 WIB, 2.56
