      Datetime      ,  Rain (mm)
2026-02-20 13:00 WIB, 0.75
2026-02-20 16:00 WIB, 0.10
2026-02-20 19:00 WIB, 0.00
2026-02-20 22:00 WIB, 0.00
2026-02-21 01:00 WIB, 0.00
2026-02-21 04:00 WIB, 0.01
2026-02-21 07:00 WIB, 0.00
2026-02-21 10:00 WIB, 0.16
2026-02-21 13:00 WIB, 3.44
2026-02-21 16:00 WIB, 0.56
2026-02-21 19:00 WIB, 0.07
2026-02-21 22:00 WIB, 0.00
2026-02-22 01:00 WIB, 0.00
2026-02-22 04:00 WIB, 0.00
2026-02-22 07:00 WIB, 0.00
2026-02-22 10:00 WIB, 0.00
2026-02-22 13:00 WIB, 5.85
2026-02-22 16:00 WIB, 9.46
2026-02-22 19:00 WIB, 0.05
2026-02-22 22:00 WIB, 0.12
2026-02-23 01:00 WIB, 0.00
2026-02-23 04:00 WIB, 0.00
2026-02-23 07:00 WIB, 0.00
2026-02-23 10:00 WIB, 0.00
2026-02-23 13:00 WIB, 3.13
2026-02-23 16:00 WIB, 4.41
2026-02-23 19:00 WIB, 0.02
2026-02-23 22:00 WIB, 0.00
2026-02-24 01:00 WIB, 0.00
2026-02-24 04:00 WIB, 0.00
2026-02-24 07:00 WIB, 0.00
2026-02-24 10:00 WIB, 0.00
2026-02-24 13:00 WIB, 0.00
2026-02-24 16:00 WIB, 0.00
2026-02-24 19:00 WIB, 0.00
2026-02-24 22:00 WIB, 0.00
2026-02-25 01:00 WIB, 0.00
2026-02-25 04:00 WIB, 0.00
2026-02-25 07:00 WIB, 0.00
2026-02-25 10:00 WIB, 0.00
2026-02-25 13:00 WIB, 0.00
