      Datetime      ,  Rain (mm)
2026-01-29 01:00 WIB, 0.00
2026-01-29 04:00 WIB, 0.81
2026-01-29 07:00 WIB, 1.00
2026-01-29 10:00 WIB, 0.08
2026-01-29 13:00 WIB, 0.30
2026-01-29 16:00 WIB, 6.74
2026-01-29 19:00 WIB, 0.00
2026-01-29 22:00 WIB, 0.00
2026-01-30 01:00 WIB, 0.31
2026-01-30 04:00 WIB, 0.50
2026-01-30 07:00 WIB, 0.00
2026-01-30 10:00 WIB, 2.00
2026-01-30 13:00 WIB, 0.90
2026-01-30 16:00 WIB, 2.83
2026-01-30 19:00 WIB, 0.57
2026-01-30 22:00 WIB, 0.01
2026-01-31 01:00 WIB, 0.03
2026-01-31 04:00 WIB, 0.10
2026-01-31 07:00 WIB, 0.00
2026-01-31 10:00 WIB, 1.05
2026-01-31 13:00 WIB, 1.19
2026-01-31 16:00 WIB, 5.60
2026-01-31 19:00 WIB, 1.42
2026-01-31 22:00 WIB, 0.00
2026-02-01 01:00 WIB, 0.00
2026-02-01 04:00 WIB, 0.00
2026-02-01 07:00 WIB, 0.00
2026-02-01 10:00 WIB, 0.01
2026-02-01 13:00 WIB, 3.72
2026-02-01 16:00 WIB, 4.11
2026-02-01 19:00 WIB, 0.38
2026-02-01 22:00 WIB, 0.44
2026-02-02 01:00 WIB, 3.54
2026-02-02 04:00 WIB, 0.01
2026-02-02 07:00 WIB, 0.05
2026-02-02 10:00 WIB, 0.65
2026-02-02 13:00 WIB, 4.68
2026-02-02 16:00 WIB, 0.50
2026-02-02 19:00 WIB, 0.01
2026-02-02 22:00 WIB, 0.00
2026-02-03 01:00 WIB, 0.20
