      Datetime      ,  Rain (mm)
2026-03-07 01:00 WIB, 0.00
2026-03-07 04:00 WIB, 0.00
2026-03-07 07:00 WIB, 0.00
2026-03-07 10:00 WIB, 1.09
2026-03-07 13:00 WIB, 3.84
2026-03-07 16:00 WIB, 2.93
2026-03-07 19:00 WIB, 2.09
2026-03-07 22:00 WIB, 0.00
2026-03-08 01:00 WIB, 0.00
2026-03-08 04:00 WIB, 0.00
2026-03-08 07:00 WIB, 0.00
2026-03-08 10:00 WIB, 0.00
2026-03-08 13:00 WIB, 0.75
2026-03-08 16:00 WIB, 2.24
2026-03-08 19:00 WIB, 0.93
2026-03-08 22:00 WIB, 0.26
2026-03-09 01:00 WIB, 0.22
2026-03-09 04:00 WIB, 0.00
2026-03-09 07:00 WIB, 0.16
2026-03-09 10:00 WIB, 0.60
2026-03-09 13:00 WIB, 1.22
2026-03-09 16:00 WIB, 0.35
2026-03-09 19:00 WIB, 1.60
2026-03-09 22:00 WIB, 0.23
2026-03-10 01:00 WIB, 0.00
2026-03-10 04:00 WIB, 0.00
2026-03-10 07:00 WIB, 0.00
2026-03-10 10:00 WIB, 0.00
2026-03-10 13:00 WIB, 0.00
2026-03-10 16:00 WIB, 0.00
2026-03-10 19:00 WIB, 0.00
2026-03-10 22:00 WIB, 0.00
2026-03-11 01:00 WIB, 0.00
2026-03-11 04:00 WIB, 0.00
2026-03-11 07:00 WIB, 0.00
2026-03-11 10:00 WIB, 0.00
2026-03-11 13:00 WIB, 0.68
2026-03-11 16:00 WIB, 5.38
2026-03-11 19:00 WIB, 1.98
2026-03-11 22:00 WIB, 0.00
2026-03-12 01:00 WIB, 0.00
