      Datetime      ,  Rain (mm)
2026-03-15 01:00 WIB, 0.54
2026-03-15 04:00 WIB, 0.22
2026-03-15 07:00 WIB, 0.00
2026-03-15 10:00 WIB, 0.00
2026-03-15 13:00 WIB, 0.00
2026-03-15 16:00 WIB, 2.33
2026-03-15 19:00 WIB, 0.87
2026-03-15 22:00 WIB, 0.00
2026-03-16 01:00 WIB, 0.00
2026-03-16 04:00 WIB, 0.00
2026-03-16 07:00 WIB, 0.00
2026-03-16 10:00 WIB, 0.00
2026-03-16 13:00 WIB, 0.34
2026-03-16 16:00 WIB, 3.41
2026-03-16 19:00 WIB, 1.23
2026-03-16 22:00 WIB, 0.49
2026-03-17 01:00 WIB, 0.00
2026-03-17 04:00 WIB, 0.00
2026-03-17 07:00 WIB, 0.00
2026-03-17 10:00 WIB, 0.00
2026-03-17 13:00 WIB, 1.11
2026-03-17 16:00 WIB, 3.91
2026-03-17 19:00 WIB, 1.12
2026-03-17 22:00 WIB, 0.05
2026-03-18 01:00 WIB, 0.00
2026-03-18 04:00 WIB, 0.00
2026-03-18 07:00 WIB, 0.00
2026-03-18 10:00 WIB, 0.00
2026-03-18 13:00 WIB, 0.00
2026-03-18 16:00 WIB, 0.21
2026-03-18 19:00 WIB, 1.58
2026-03-18 22:00 WIB, 1.66
2026-03-19 01:00 WIB, 0.06
2026-03-19 04:00 WIB, 0.00
2026-03-19 07:00 WIB, 0.00
2026-03-19 10:00 WIB, 0.00
2026-03-19 13:00 WIB, 3.20
2026-03-19 16:00 WIB, 0.61
2026-03-19 19:00 WIB, 0.00
2026-03-19 22:00 WIB, 0.00
2026-03-20 01:00 WIB, 0.01
