      Datetime      ,  Rain (mm)
2026-02-11 13:00 WIB, 0.95
2026-02-11 16:00 WIB, 2.47
2026-02-11 19:00 WIB, 1.72
2026-02-11 22:00 WIB, 0.68
2026-02-12 01:00 WIB, 0.00
2026-02-12 04:00 WIB, 0.00
2026-02-12 07:00 WIB, 0.00
2026-02-12 10:00 WIB, 0.00
2026-02-12 13:00 WIB, 0.87
2026-02-12 16:00 WIB, 0.71
2026-02-12 19:00 WIB, 1.87
2026-02-12 22:00 WIB, 0.00
2026-02-13 01:00 WIB, 0.00
2026-02-13 04:00 WIB, 0.00
2026-02-13 07:00 WIB, 0.12
2026-02-13 10:00 WIB, 0.00
2026-02-13 13:00 WIB, 0.98
2026-02-13 16:00 WIB, 0.68
2026-02-13 19:00 WIB, 0.00
2026-02-13 22:00 WIB, 0.00
2026-02-14 01:00 WIB, 0.14
2026-02-14 04:00 WIB, 0.00
2026-02-14 07:00 WIB, 0.00
2026-02-14 10:00 WIB, 0.00
2026-02-14 13:00 WIB, 3.50
2026-02-14 16:00 WIB, 6.94
2026-02-14 19:00 WIB, 1.16
2026-02-14 22:00 WIB, 0.00
2026-02-15 01:00 WIB, 0.00
2026-02-15 04:00 WIB, 0.00
2026-02-15 07:00 WIB, 0.00
2026-02-15 10:00 WIB, 0.00
2026-02-15 13:00 WIB, 2.62
2026-02-15 16:00 WIB, 12.36
2026-02-15 19:00 WIB, 4.73
2026-02-15 22:00 WIB, 2.20
2026-02-16 01:00 WIB, 14.80
2026-02-16 04:00 WIB, 10.29
2026-02-16 07:00 WIB, 0.00
2026-02-16 10:00 WIB, 2.50
2026-02-16 13:00 WIB, 7.36
