      Datetime      ,  Rain (mm)
2026-03-18 13:00 WIB, 10.01
2026-03-18 16:00 WIB, 10.03
2026-03-18 19:00 WIB, 1.90
2026-03-18 22:00 WIB, 0.02
2026-03-19 01:00 WIB, 1.24
2026-03-19 04:00 WIB, 0.12
2026-03-19 07:00 WIB, 0.00
2026-03-19 10:00 WIB, 0.00
2026-03-19 13:00 WIB, 3.17
2026-03-19 16:00 WIB, 8.83
2026-03-19 19:00 WIB, 6.64
2026-03-19 22:00 WIB, 3.16
2026-03-20 01:00 WIB, 18.87
2026-03-20 04:00 WIB, 22.89
2026-03-20 07:00 WIB, 0.00
2026-03-20 10:00 WIB, 4.48
2026-03-20 13:00 WIB, 8.48
2026-03-20 16:00 WIB, 8.08
2026-03-20 19:00 WIB, 2.05
2026-03-20 22:00 WIB, 1.36
2026-03-21 01:00 WIB, 0.65
2026-03-21 04:00 WIB, 0.00
2026-03-21 07:00 WIB, 0.00
2026-03-21 10:00 WIB, 0.00
2026-03-21 13:00 WIB, 4.87
2026-03-21 16:00 WIB, 8.38
2026-03-21 19:00 WIB, 4.20
2026-03-21 22:00 WIB, 0.80
2026-03-22 01:00 WIB, 0.00
2026-03-22 04:00 WIB, 0.00
2026-03-22 07:00 WIB, 0.00
2026-03-22 10:00 WIB, 0.00
2026-03-22 13:00 WIB, 0.00
2026-03-22 16:00 WIB, 1.18
2026-03-22 19:00 WIB, 0.37
2026-03-22 22:00 WIB, 0.00
2026-03-23 01:00 WIB, 0.00
2026-03-23 04:00 WIB, 0.00
2026-03-23 07:00 WIB, 0.00
2026-03-23 10:00 WIB, 0.00
2026-03-23 13:00 WIB, 0.00
