      Datetime      ,  Rain (mm)
2026-03-02 01:00 WIB, 0.00
2026-03-02 04:00 WIB, 0.00
2026-03-02 07:00 WIB, 0.00
2026-03-02 10:00 WIB, 0.00
2026-03-02 13:00 WIB, 1.24
2026-03-02 16:00 WIB, 7.32
2026-03-02 19:00 WIB, 1.80
2026-03-02 22:00 WIB, 0.00
2026-03-03 01:00 WIB, 0.00
2026-03-03 04:00 WIB, 0.00
2026-03-03 07:00 WIB, 0.00
2026-03-03 10:00 WIB, 0.58
2026-03-03 13:00 WIB, 5.06
2026-03-03 16:00 WIB, 3.19
2026-03-03 19:00 WIB, 3.02
2026-03-03 22:00 WIB, 0.00
2026-03-04 01:00 WIB, 0.12
2026-03-04 04:00 WIB, 0.18
2026-03-04 07:00 WIB, 0.41
2026-03-04 10:00 WIB, 3.72
2026-03-04 13:00 WIB, 7.94
2026-03-04 16:00 WIB, 7.75
2026-03-04 19:00 WIB, 0.24
2026-03-04 22:00 WIB, 0.00
2026-03-05 01:00 WIB, 0.00
2026-03-05 04:00 WIB, 0.00
2026-03-05 07:00 WIB, 0.00
2026-03-05 10:00 WIB, 0.23
2026-03-05 13:00 WIB, 6.05
2026-03-05 16:00 WIB, 2.14
2026-03-05 19:00 WIB, 0.00
2026-03-05 22:00 WIB, 0.00
2026-03-06 01:00 WIB, 0.00
2026-03-06 04:00 WIB, 0.00
2026-03-06 07:00 WIB, 0.00
2026-03-06 10:00 WIB, 0.00
2026-03-06 13:00 WIB, 3.81
2026-03-06 16:00 WIB, 2.73
2026-03-06 19:00 WIB, 3.32
2026-03-06 22:00 WIB, 0.02
2026-03-07 01:00 WIB, 0.13
