      Datetime      ,  Rain (mm)
2026-03-19 01:00 WIB, 0.00
2026-03-19 04:00 WIB, 0.00
2026-03-19 07:00 WIB, 0.00
2026-03-19 10:00 WIB, 0.00
2026-03-19 13:00 WIB, 0.09
2026-03-19 16:00 WIB, 13.65
2026-03-19 19:00 WIB, 3.47
2026-03-19 22:00 WIB, 2.11
2026-03-20 01:00 WIB, 0.01
2026-03-20 04:00 WIB, 0.00
2026-03-20 07:00 WIB, 0.00
2026-03-20 10:00 WIB, 0.00
2026-03-20 13:00 WIB, 6.01
2026-03-20 16:00 WIB, 4.13
2026-03-20 19:00 WIB, 2.32
2026-03-20 22:00 WIB, 5.10
2026-03-21 01:00 WIB, 3.27
2026-03-21 04:00 WIB, 3.81
2026-03-21 07:00 WIB, 0.00
2026-03-21 10:00 WIB, 0.00
2026-03-21 13:00 WIB, 3.93
2026-03-21 16:00 WIB, 4.04
2026-03-21 19:00 WIB, 1.66
2026-03-21 22:00 WIB, 0.26
2026-03-22 01:00 WIB, 0.00
2026-03-22 04:00 WIB, 0.00
2026-03-22 07:00 WIB, 0.00
2026-03-22 10:00 WIB, 0.00
2026-03-22 13:00 WIB, 0.00
2026-03-22 16:00 WIB, 0.00
2026-03-22 19:00 WIB, 1.09
2026-03-22 22:00 WIB, 0.00
2026-03-23 01:00 WIB, 0.00
2026-03-23 04:00 WIB, 0.00
2026-03-23 07:00 WIB, 0.00
2026-03-23 10:00 WIB, 0.00
2026-03-23 13:00 WIB, 0.00
2026-03-23 16:00 WIB, 0.01
2026-03-23 19:00 WIB, 0.21
2026-03-23 22:00 WIB, 0.03
2026-03-24 01:00 WIB, 0.00
