      Datetime      ,  Rain (mm)
2026-03-18 01:00 WIB, 0.01
2026-03-18 04:00 WIB, 0.43
2026-03-18 07:00 WIB, 0.04
2026-03-18 10:00 WIB, 1.27
2026-03-18 13:00 WIB, 0.01
2026-03-18 16:00 WIB, 6.48
2026-03-18 19:00 WIB, 11.38
2026-03-18 22:00 WIB, 3.21
2026-03-19 01:00 WIB, 1.64
2026-03-19 04:00 WIB, 0.58
2026-03-19 07:00 WIB, 0.00
2026-03-19 10:00 WIB, 0.19
2026-03-19 13:00 WIB, 2.58
2026-03-19 16:00 WIB, 1.70
2026-03-19 19:00 WIB, 3.81
2026-03-19 22:00 WIB, 4.22
2026-03-20 01:00 WIB, 4.34
2026-03-20 04:00 WIB, 0.35
2026-03-20 07:00 WIB, 0.00
2026-03-20 10:00 WIB, 0.00
2026-03-20 13:00 WIB, 4.82
2026-03-20 16:00 WIB, 11.76
2026-03-20 19:00 WIB, 5.16
2026-03-20 22:00 WIB, 33.56
2026-03-21 01:00 WIB, 1.18
2026-03-21 04:00 WIB, 0.00
2026-03-21 07:00 WIB, 0.00
2026-03-21 10:00 WIB, 0.00
2026-03-21 13:00 WIB, 0.00
2026-03-21 16:00 WIB, 5.45
2026-03-21 19:00 WIB, 7.53
2026-03-21 22:00 WIB, 0.00
2026-03-22 01:00 WIB, 0.00
2026-03-22 04:00 WIB, 0.00
2026-03-22 07:00 WIB, 0.00
2026-03-22 10:00 WIB, 0.00
2026-03-22 13:00 WIB, 0.00
2026-03-22 16:00 WIB, 0.00
2026-03-22 19:00 WIB, 0.00
2026-03-22 22:00 WIB, 0.00
2026-03-23 01:00 WIB, 0.00
