      Datetime      ,  Rain (mm)
2026-02-28 01:00 WIB, 0.00
2026-02-28 04:00 WIB, 0.00
2026-02-28 07:00 WIB, 0.00
2026-02-28 10:00 WIB, 0.00
2026-02-28 13:00 WIB, 0.00
2026-02-28 16:00 WIB, 1.30
2026-02-28 19:00 WIB, 2.81
2026-02-28 22:00 WIB, 1.36
2026-03-01 01:00 WIB, 0.00
2026-03-01 04:00 WIB, 0.00
2026-03-01 07:00 WIB, 0.00
2026-03-01 10:00 WIB, 0.00
2026-03-01 13:00 WIB, 0.00
2026-03-01 16:00 WIB, 0.30
2026-03-01 19:00 WIB, 0.00
2026-03-01 22:00 WIB, 0.00
2026-03-02 01:00 WIB, 0.00
2026-03-02 04:00 WIB, 0.04
2026-03-02 07:00 WIB, 0.00
2026-03-02 10:00 WIB, 0.07
2026-03-02 13:00 WIB, 0.38
2026-03-02 16:00 WIB, 1.12
2026-03-02 19:00 WIB, 0.00
2026-03-02 22:00 WIB, 0.08
2026-03-03 01:00 WIB, 3.17
2026-03-03 04:00 WIB, 2.17
2026-03-03 07:00 WIB, 1.16
2026-03-03 10:00 WIB, 0.16
2026-03-03 13:00 WIB, 2.49
2026-03-03 16:00 WIB, 9.53
2026-03-03 19:00 WIB, 0.95
2026-03-03 22:00 WIB, 0.00
2026-03-04 01:00 WIB, 0.12
2026-03-04 04:00 WIB, 0.00
2026-03-04 07:00 WIB, 0.19
2026-03-04 10:00 WIB, 0.87
2026-03-04 13:00 WIB, 7.94
2026-03-04 16:00 WIB, 4.27
2026-03-04 19:00 WIB, 2.42
2026-03-04 22:00 WIB, 0.00
2026-03-05 01:00 WIB, 0.00
