      Datetime      ,  Rain (mm)
2026-03-17 01:00 WIB, 0.01
2026-03-17 04:00 WIB, 0.00
2026-03-17 07:00 WIB, 0.00
2026-03-17 10:00 WIB, 0.00
2026-03-17 13:00 WIB, 0.00
2026-03-17 16:00 WIB, 0.00
2026-03-17 19:00 WIB, 4.84
2026-03-17 22:00 WIB, 2.20
2026-03-18 01:00 WIB, 0.05
2026-03-18 04:00 WIB, 0.00
2026-03-18 07:00 WIB, 0.00
2026-03-18 10:00 WIB, 0.00
2026-03-18 13:00 WIB, 0.00
2026-03-18 16:00 WIB, 0.05
2026-03-18 19:00 WIB, 3.08
2026-03-18 22:00 WIB, 0.02
2026-03-19 01:00 WIB, 0.59
2026-03-19 04:00 WIB, 0.00
2026-03-19 07:00 WIB, 0.00
2026-03-19 10:00 WIB, 0.00
2026-03-19 13:00 WIB, 0.06
2026-03-19 16:00 WIB, 5.32
2026-03-19 19:00 WIB, 2.66
2026-03-19 22:00 WIB, 1.03
2026-03-20 01:00 WIB, 0.00
2026-03-20 04:00 WIB, 0.00
2026-03-20 07:00 WIB, 0.00
2026-03-20 10:00 WIB, 0.00
2026-03-20 13:00 WIB, 0.00
2026-03-20 16:00 WIB, 6.15
2026-03-20 19:00 WIB, 4.01
2026-03-20 22:00 WIB, 0.00
2026-03-21 01:00 WIB, 0.00
2026-03-21 04:00 WIB, 0.00
2026-03-21 07:00 WIB, 0.00
2026-03-21 10:00 WIB, 0.00
2026-03-21 13:00 WIB, 0.18
2026-03-21 16:00 WIB, 10.17
2026-03-21 19:00 WIB, 4.46
2026-03-21 22:00 WIB, 0.00
2026-03-22 01:00 WIB, 0.00
