      Datetime      ,  Rain (mm)
2026-02-06 13:00 WIB, 0.71
2026-02-06 16:00 WIB, 1.25
2026-02-06 19:00 WIB, 1.88
2026-02-06 22:00 WIB, 0.00
2026-02-07 01:00 WIB, 0.00
2026-02-07 04:00 WIB, 0.00
2026-02-07 07:00 WIB, 0.00
2026-02-07 10:00 WIB, 0.16
2026-02-07 13:00 WIB, 3.80
2026-02-07 16:00 WIB, 4.14
2026-02-07 19:00 WIB, 2.19
2026-02-07 22:00 WIB, 0.00
2026-02-08 01:00 WIB, 0.00
2026-02-08 04:00 WIB, 0.00
2026-02-08 07:00 WIB, 0.00
2026-02-08 10:00 WIB, 0.00
2026-02-08 13:00 WIB, 0.04
2026-02-08 16:00 WIB, 4.67
2026-02-08 19:00 WIB, 2.49
2026-02-08 22:00 WIB, 3.98
2026-02-09 01:00 WIB, 0.25
2026-02-09 04:00 WIB, 0.00
2026-02-09 07:00 WIB, 0.01
2026-02-09 10:00 WIB, 0.01
2026-02-09 13:00 WIB, 0.16
2026-02-09 16:00 WIB, 0.00
2026-02-09 19:00 WIB, 0.00
2026-02-09 22:00 WIB, 1.40
2026-02-10 01:00 WIB, 0.12
2026-02-10 04:00 WIB, 0.00
2026-02-10 07:00 WIB, 0.00
2026-02-10 10:00 WIB, 0.00
2026-02-10 13:00 WIB, 0.18
2026-02-10 16:00 WIB, 1.20
2026-02-10 19:00 WIB, 0.30
2026-02-10 22:00 WIB, 0.14
2026-02-11 01:00 WIB, 0.00
2026-02-11 04:00 WIB, 0.00
2026-02-11 07:00 WIB, 0.04
2026-02-11 10:00 WIB, 0.00
2026-02-11 13:00 WIB, 0.00
