      Datetime      ,  Rain (mm)
2026-03-05 13:00 WIB, 6.32
2026-03-05 16:00 WIB, 2.27
2026-03-05 19:00 WIB, 1.66
2026-03-05 22:00 WIB, 0.00
2026-03-06 01:00 WIB, 0.00
2026-03-06 04:00 WIB, 0.00
2026-03-06 07:00 WIB, 0.00
2026-03-06 10:00 WIB, 0.62
2026-03-06 13:00 WIB, 4.15
2026-03-06 16:00 WIB, 4.93
2026-03-06 19:00 WIB, 1.70
2026-03-06 22:00 WIB, 0.00
2026-03-07 01:00 WIB, 1.90
2026-03-07 04:00 WIB, 1.21
2026-03-07 07:00 WIB, 0.11
2026-03-07 10:00 WIB, 0.53
2026-03-07 13:00 WIB, 2.76
2026-03-07 16:00 WIB, 0.79
2026-03-07 19:00 WIB, 1.25
2026-03-07 22:00 WIB, 0.00
2026-03-08 01:00 WIB, 0.00
2026-03-08 04:00 WIB, 0.00
2026-03-08 07:00 WIB, 0.00
2026-03-08 10:00 WIB, 0.00
2026-03-08 13:00 WIB, 2.04
2026-03-08 16:00 WIB, 3.25
2026-03-08 19:00 WIB, 0.67
2026-03-08 22:00 WIB, 0.00
2026-03-09 01:00 WIB, 0.00
2026-03-09 04:00 WIB, 0.08
2026-03-09 07:00 WIB, 0.13
2026-03-09 10:00 WIB, 0.30
2026-03-09 13:00 WIB, 1.46
2026-03-09 16:00 WIB, 1.00
2026-03-09 19:00 WIB, 1.01
2026-03-09 22:00 WIB, 0.01
2026-03-10 01:00 WIB, 0.00
2026-03-10 04:00 WIB, 0.00
2026-03-10 07:00 WIB, 0.00
2026-03-10 10:00 WIB, 0.00
2026-03-10 13:00 WIB, 0.00
