      Datetime      ,  Rain (mm)
2026-02-04 13:00 WIB, 3.64
2026-02-04 16:00 WIB, 1.72
2026-02-04 19:00 WIB, 0.19
2026-02-04 22:00 WIB, 0.00
2026-02-05 01:00 WIB, 0.00
2026-02-05 04:00 WIB, 0.06
2026-02-05 07:00 WIB, 0.00
2026-02-05 10:00 WIB, 0.00
2026-02-05 13:00 WIB, 2.51
2026-02-05 16:00 WIB, 2.54
2026-02-05 19:00 WIB, 0.64
2026-02-05 22:00 WIB, 0.02
2026-02-06 01:00 WIB, 0.09
2026-02-06 04:00 WIB, 0.01
2026-02-06 07:00 WIB, 0.00
2026-02-06 10:00 WIB, 0.40
2026-02-06 13:00 WIB, 3.41
2026-02-06 16:00 WIB, 1.59
2026-02-06 19:00 WIB, 1.41
2026-02-06 22:00 WIB, 0.00
2026-02-07 01:00 WIB, 0.25
2026-02-07 04:00 WIB, 0.00
2026-02-07 07:00 WIB, 0.00
2026-02-07 10:00 WIB, 0.00
2026-02-07 13:00 WIB, 2.25
2026-02-07 16:00 WIB, 3.86
2026-02-07 19:00 WIB, 1.05
2026-02-07 22:00 WIB, 0.00
2026-02-08 01:00 WIB, 0.00
2026-02-08 04:00 WIB, 0.00
2026-02-08 07:00 WIB, 0.00
2026-02-08 10:00 WIB, 0.43
2026-02-08 13:00 WIB, 5.00
2026-02-08 16:00 WIB, 3.84
2026-02-08 19:00 WIB, 2.11
2026-02-08 22:00 WIB, 0.00
2026-02-09 01:00 WIB, 0.00
2026-02-09 04:00 WIB, 0.00
2026-02-09 07:00 WIB, 0.00
2026-02-09 10:00 WIB, 0.00
2026-02-09 13:00 WIB, 1.08
