      Datetime      ,  Rain (mm)
2026-02-07 01:00 WIB, 0.00
2026-02-07 04:00 WIB, 0.00
2026-02-07 07:00 WIB, 0.00
2026-02-07 10:00 WIB, 0.35
2026-02-07 13:00 WIB, 4.39
2026-02-07 16:00 WIB, 4.83
2026-02-07 19:00 WIB, 0.85
2026-02-07 22:00 WIB, 0.00
2026-02-08 01:00 WIB, 0.00
2026-02-08 04:00 WIB, 0.00
2026-02-08 07:00 WIB, 0.00
2026-02-08 10:00 WIB, 0.22
2026-02-08 13:00 WIB, 1.17
2026-02-08 16:00 WIB, 5.71
2026-02-08 19:00 WIB, 1.34
2026-02-08 22:00 WIB, 0.93
2026-02-09 01:00 WIB, 0.04
2026-02-09 04:00 WIB, 0.00
2026-02-09 07:00 WIB, 0.00
2026-02-09 10:00 WIB, 0.00
2026-02-09 13:00 WIB, 0.02
2026-02-09 16:00 WIB, 0.00
2026-02-09 19:00 WIB, 0.00
2026-02-09 22:00 WIB, 0.00
2026-02-10 01:00 WIB, 0.00
2026-02-10 04:00 WIB, 0.00
2026-02-10 07:00 WIB, 0.00
2026-02-10 10:00 WIB, 0.00
2026-02-10 13:00 WIB, 0.07
2026-02-10 16:00 WIB, 1.01
2026-02-10 19:00 WIB, 0.03
2026-02-10 22:00 WIB, 0.00
2026-02-11 01:00 WIB, 0.00
2026-02-11 04:00 WIB, 0.00
2026-02-11 07:00 WIB, 0.00
2026-02-11 10:00 WIB, 0.00
2026-02-11 13:00 WIB, 0.00
2026-02-11 16:00 WIB, 1.07
2026-02-11 19:00 WIB, 0.00
2026-02-11 22:00 WIB, 0.00
2026-02-12 01:00 WIB, 0.00
