      Datetime      ,  Rain (mm)
2026-02-15 01:00 WIB, 0.25
2026-02-15 04:00 WIB, 0.32
2026-02-15 07:00 WIB, 0.00
2026-02-15 10:00 WIB, 0.00
2026-02-15 13:00 WIB, 4.61
2026-02-15 16:00 WIB, 4.34
2026-02-15 19:00 WIB, 4.75
2026-02-15 22:00 WIB, 1.35
2026-02-16 01:00 WIB, 0.53
2026-02-16 04:00 WIB, 0.00
2026-02-16 07:00 WIB, 0.00
2026-02-16 10:00 WIB, 0.00
2026-02-16 13:00 WIB, 3.37
2026-02-16 16:00 WIB, 3.90
2026-02-16 19:00 WIB, 0.66
2026-02-16 22:00 WIB, 1.40
2026-02-17 01:00 WIB, 0.00
2026-02-17 04:00 WIB, 0.00
2026-02-17 07:00 WIB, 0.00
2026-02-17 10:00 WIB, 0.62
2026-02-17 13:00 WIB, 3.74
2026-02-17 16:00 WIB, 2.57
2026-02-17 19:00 WIB, 0.00
2026-02-17 22:00 WIB, 0.00
2026-02-18 01:00 WIB, 0.05
2026-02-18 04:00 WIB, 0.94
2026-02-18 07:00 WIB, 1.24
2026-02-18 10:00 WIB, 1.53
2026-02-18 13:00 WIB, 1.78
2026-02-18 16:00 WIB, 2.90
2026-02-18 19:00 WIB, 0.09
2026-02-18 22:00 WIB, 0.00
2026-02-19 01:00 WIB, 0.24
2026-02-19 04:00 WIB, 0.13
2026-02-19 07:00 WIB, 0.72
2026-02-19 10:00 WIB, 1.04
2026-02-19 13:00 WIB, 0.92
2026-02-19 16:00 WIB, 0.68
2026-02-19 19:00 WIB, 0.00
2026-02-19 22:00 WIB, 0.24
2026-02-20 01:00 WIB, 0.36
