      Datetime      ,  Rain (mm)
2026-02-25 13:00 WIB, 0.00
2026-02-25 16:00 WIB, 0.00
2026-02-25 19:00 WIB, 0.00
2026-02-25 22:00 WIB, 0.00
2026-02-26 01:00 WIB, 0.00
2026-02-26 04:00 WIB, 0.00
2026-02-26 07:00 WIB, 0.00
2026-02-26 10:00 WIB, 0.00
2026-02-26 13:00 WIB, 0.00
2026-02-26 16:00 WIB, 0.00
2026-02-26 19:00 WIB, 0.00
2026-02-26 22:00 WIB, 0.00
2026-02-27 01:00 WIB, 0.00
2026-02-27 04:00 WIB, 0.00
2026-02-27 07:00 WIB, 0.00
2026-02-27 10:00 WIB, 0.00
2026-02-27 13:00 WIB, 0.00
2026-02-27 16:00 WIB, 1.37
2026-02-27 19:00 WIB, 0.00
2026-02-27 22:00 WIB, 0.00
2026-02-28 01:00 WIB, 0.00
2026-02-28 04:00 WIB, 0.00
2026-02-28 07:00 WIB, 0.00
2026-02-28 10:00 WIB, 0.00
2026-02-28 13:00 WIB, 2.87
2026-02-28 16:00 WIB, 4.59
2026-02-28 19:00 WIB, 0.00
2026-02-28 22:00 WIB, 0.00
2026-03-01 01:00 WIB, 0.00
2026-03-01 04:00 WIB, 0.03
2026-03-01 07:00 WIB, 0.00
2026-03-01 10:00 WIB, 0.36
2026-03-01 13:00 WIB, 1.96
2026-03-01 16:00 WIB, 1.46
2026-03-01 19:00 WIB, 0.00
2026-03-01 22:00 WIB, 0.00
2026-03-02 01:00 WIB, 0.00
2026-03-02 04:00 WIB, 0.00
2026-03-02 07:00 WIB, 0.04
2026-03-02 10:00 WIB, 0.08
2026-03-02 13:00 WIB, 0.76
