      Datetime      ,  Rain (mm)
2026-02-12 01:00 WIB, 0.00
2026-02-12 04:00 WIB, 0.29
2026-02-12 07:00 WIB, 0.00
2026-02-12 10:00 WIB, 0.01
2026-02-12 13:00 WIB, 2.18
2026-02-12 16:00 WIB, 0.92
2026-02-12 19:00 WIB, 0.43
2026-02-12 22:00 WIB, 0.00
2026-02-13 01:00 WIB, 0.00
2026-02-13 04:00 WIB, 0.00
2026-02-13 07:00 WIB, 0.00
2026-02-13 10:00 WIB, 0.00
2026-02-13 13:00 WIB, 0.00
2026-02-13 16:00 WIB, 0.33
2026-02-13 19:00 WIB, 0.00
2026-02-13 22:00 WIB, 0.00
2026-02-14 01:00 WIB, 0.05
2026-02-14 04:00 WIB, 0.03
2026-02-14 07:00 WIB, 0.00
2026-02-14 10:00 WIB, 0.00
2026-02-14 13:00 WIB, 0.01
2026-02-14 16:00 WIB, 4.36
2026-02-14 19:00 WIB, 0.12
2026-02-14 22:00 WIB, 0.00
2026-02-15 01:00 WIB, 0.00
2026-02-15 04:00 WIB, 0.00
2026-02-15 07:00 WIB, 0.00
2026-02-15 10:00 WIB, 0.00
2026-02-15 13:00 WIB, 0.00
2026-02-15 16:00 WIB, 9.33
2026-02-15 19:00 WIB, 0.93
2026-02-15 22:00 WIB, 0.06
2026-02-16 01:00 WIB, 0.00
2026-02-16 04:00 WIB, 0.00
2026-02-16 07:00 WIB, 0.00
2026-02-16 10:00 WIB, 0.00
2026-02-16 13:00 WIB, 0.03
2026-02-16 16:00 WIB, 13.81
2026-02-16 19:00 WIB, 4.54
2026-02-16 22:00 WIB, 0.13
2026-02-17 01:00 WIB, 0.79
