      Datetime      ,  Rain (mm)
2026-02-17 01:00 WIB, 0.13
2026-02-17 04:00 WIB, 0.43
2026-02-17 07:00 WIB, 0.03
2026-02-17 10:00 WIB, 0.00
2026-02-17 13:00 WIB, 0.08
2026-02-17 16:00 WIB, 7.69
2026-02-17 19:00 WIB, 6.39
2026-02-17 22:00 WIB, 0.21
2026-02-18 01:00 WIB, 0.00
2026-02-18 04:00 WIB, 6.61
2026-02-18 07:00 WIB, 0.16
2026-02-18 10:00 WIB, 0.33
2026-02-18 13:00 WIB, 0.00
2026-02-18 16:00 WIB, 0.00
2026-02-18 19:00 WIB, 0.00
2026-02-18 22:00 WIB, 0.00
2026-02-19 01:00 WIB, 0.01
2026-02-19 04:00 WIB, 0.24
2026-02-19 07:00 WIB, 0.11
2026-02-19 10:00 WIB, 0.00
2026-02-19 13:00 WIB, 0.00
2026-02-19 16:00 WIB, 0.00
2026-02-19 19:00 WIB, 0.00
2026-02-19 22:00 WIB, 0.00
2026-02-20 01:00 WIB, 0.17
2026-02-20 04:00 WIB, 0.64
2026-02-20 07:00 WIB, 0.30
2026-02-20 10:00 WIB, 0.91
2026-02-20 13:00 WIB, 2.18
2026-02-20 16:00 WIB, 1.13
2026-02-20 19:00 WIB, 0.00
2026-02-20 22:00 WIB, 0.00
2026-02-21 01:00 WIB, 0.14
2026-02-21 04:00 WIB, 0.34
2026-02-21 07:00 WIB, 0.03
2026-02-21 10:00 WIB, 0.02
2026-02-21 13:00 WIB, 0.18
2026-02-21 16:00 WIB, 0.28
2026-02-21 19:00 WIB, 0.00
2026-02-21 22:00 WIB, 0.00
2026-02-22 01:00 WIB, 0.01
