      Datetime      ,  Rain (mm)
2026-02-09 01:00 WIB, 0.00
2026-02-09 04:00 WIB, 0.00
2026-02-09 07:00 WIB, 0.00
2026-02-09 10:00 WIB, 0.73
2026-02-09 13:00 WIB, 2.11
2026-02-09 16:00 WIB, 1.55
2026-02-09 19:00 WIB, 0.13
2026-02-09 22:00 WIB, 0.00
2026-02-10 01:00 WIB, 0.00
2026-02-10 04:00 WIB, 0.00
2026-02-10 07:00 WIB, 0.00
2026-02-10 10:00 WIB, 0.00
2026-02-10 13:00 WIB, 2.34
2026-02-10 16:00 WIB, 1.34
2026-02-10 19:00 WIB, 0.09
2026-02-10 22:00 WIB, 0.00
2026-02-11 01:00 WIB, 0.00
2026-02-11 04:00 WIB, 0.00
2026-02-11 07:00 WIB, 0.00
2026-02-11 10:00 WIB, 0.00
2026-02-11 13:00 WIB, 0.00
2026-02-11 16:00 WIB, 0.66
2026-02-11 19:00 WIB, 0.91
2026-02-11 22:00 WIB, 0.00
2026-02-12 01:00 WIB, 0.00
2026-02-12 04:00 WIB, 0.00
2026-02-12 07:00 WIB, 0.00
2026-02-12 10:00 WIB, 0.00
2026-02-12 13:00 WIB, 0.00
2026-02-12 16:00 WIB, 1.28
2026-02-12 19:00 WIB, 0.00
2026-02-12 22:00 WIB, 0.00
2026-02-13 01:00 WIB, 0.00
2026-02-13 04:00 WIB, 0.00
2026-02-13 07:00 WIB, 0.00
2026-02-13 10:00 WIB, 0.00
2026-02-13 13:00 WIB, 1.78
2026-02-13 16:00 WIB, 1.96
2026-02-13 19:00 WIB, 0.75
2026-02-13 22:00 WIB, 0.00
2026-02-14 01:00 WIB, 0.00
