      Datetime      ,  Rain (mm)
2026-03-14 01:00 WIB, 0.00
2026-03-14 04:00 WIB, 0.00
2026-03-14 07:00 WIB, 0.00
2026-03-14 10:00 WIB, 0.00
2026-03-14 13:00 WIB, 0.00
2026-03-14 16:00 WIB, 0.00
2026-03-14 19:00 WIB, 1.47
2026-03-14 22:00 WIB, 0.00
2026-03-15 01:00 WIB, 0.00
2026-03-15 04:00 WIB, 0.00
2026-03-15 07:00 WIB, 0.00
2026-03-15 10:00 WIB, 0.00
2026-03-15 13:00 WIB, 1.80
2026-03-15 16:00 WIB, 2.99
2026-03-15 19:00 WIB, 0.55
2026-03-15 22:00 WIB, 0.08
2026-03-16 01:00 WIB, 0.00
2026-03-16 04:00 WIB, 0.00
2026-03-16 07:00 WIB, 0.00
2026-03-16 10:00 WIB, 0.00
2026-03-16 13:00 WIB, 0.90
2026-03-16 16:00 WIB, 1.16
2026-03-16 19:00 WIB, 1.29
2026-03-16 22:00 WIB, 0.00
2026-03-17 01:00 WIB, 0.00
2026-03-17 04:00 WIB, 0.00
2026-03-17 07:00 WIB, 0.00
2026-03-17 10:00 WIB, 0.00
2026-03-17 13:00 WIB, 0.00
2026-03-17 16:00 WIB, 0.02
2026-03-17 19:00 WIB, 0.37
2026-03-17 22:00 WIB, 0.00
2026-03-18 01:00 WIB, 0.00
2026-03-18 04:00 WIB, 0.00
2026-03-18 07:00 WIB, 0.00
2026-03-18 10:00 WIB, 0.00
2026-03-18 13:00 WIB, 1.96
2026-03-18 16:00 WIB, 7.78
2026-03-18 19:00 WIB, 1.83
2026-03-18 22:00 WIB, 0.72
2026-03-19 01:00 WIB, 0.12
