      Datetime      ,  Rain (mm)
2026-02-14 01:00 WIB, 0.00
2026-02-14 04:00 WIB, 0.00
2026-02-14 07:00 WIB, 0.00
2026-02-14 10:00 WIB, 0.00
2026-02-14 13:00 WIB, 2.41
2026-02-14 16:00 WIB, 1.60
2026-02-14 19:00 WIB, 0.14
2026-02-14 22:00 WIB, 0.00
2026-02-15 01:00 WIB, 0.12
2026-02-15 04:00 WIB, 0.00
2026-02-15 07:00 WIB, 0.00
2026-02-15 10:00 WIB, 0.00
2026-02-15 13:00 WIB, 0.35
2026-02-15 16:00 WIB, 6.96
2026-02-15 19:00 WIB, 2.79
2026-02-15 22:00 WIB, 2.51
2026-02-16 01:00 WIB, 0.09
2026-02-16 04:00 WIB, 0.00
2026-02-16 07:00 WIB, 0.00
2026-02-16 10:00 WIB, 0.00
2026-02-16 13:00 WIB, 0.82
2026-02-16 16:00 WIB, 4.48
2026-02-16 19:00 WIB, 1.83
2026-02-16 22:00 WIB, 0.00
2026-02-17 01:00 WIB, 0.00
2026-02-17 04:00 WIB, 0.00
2026-02-17 07:00 WIB, 0.00
2026-02-17 10:00 WIB, 0.24
2026-02-17 13:00 WIB, 0.51
2026-02-17 16:00 WIB, 2.46
2026-02-17 19:00 WIB, 0.00
2026-02-17 22:00 WIB, 0.00
2026-02-18 01:00 WIB, 0.34
2026-02-18 04:00 WIB, 1.04
2026-02-18 07:00 WIB, 0.62
2026-02-18 10:00 WIB, 0.96
2026-02-18 13:00 WIB, 1.52
2026-02-18 16:00 WIB, 0.61
2026-02-18 19:00 WIB, 0.03
2026-02-18 22:00 WIB, 0.00
2026-02-19 01:00 WIB, 0.20
