      Datetime      ,  Rain (mm)
2026-02-22 01:00 WIB, 0.00
2026-02-22 04:00 WIB, 0.00
2026-02-22 07:00 WIB, 0.00
2026-02-22 10:00 WIB, 0.01
2026-02-22 13:00 WIB, 1.16
2026-02-22 16:00 WIB, 2.87
2026-02-22 19:00 WIB, 0.81
2026-02-22 22:00 WIB, 0.00
2026-02-23 01:00 WIB, 0.00
2026-02-23 04:00 WIB, 0.00
2026-02-23 07:00 WIB, 0.00
2026-02-23 10:00 WIB, 0.00
2026-02-23 13:00 WIB, 1.91
2026-02-23 16:00 WIB, 3.00
2026-02-23 19:00 WIB, 0.00
2026-02-23 22:00 WIB, 0.00
2026-02-24 01:00 WIB, 0.00
2026-02-24 04:00 WIB, 0.00
2026-02-24 07:00 WIB, 0.00
2026-02-24 10:00 WIB, 0.00
2026-02-24 13:00 WIB, 0.00
2026-02-24 16:00 WIB, 1.24
2026-02-24 19:00 WIB, 1.47
2026-02-24 22:00 WIB, 0.00
2026-02-25 01:00 WIB, 0.00
2026-02-25 04:00 WIB, 0.00
2026-02-25 07:00 WIB, 0.00
2026-02-25 10:00 WIB, 0.00
2026-02-25 13:00 WIB, 0.00
2026-02-25 16:00 WIB, 0.00
2026-02-25 19:00 WIB, 0.00
2026-02-25 22:00 WIB, 0.00
2026-02-26 01:00 WIB, 0.00
2026-02-26 04:00 WIB, 0.00
2026-02-26 07:00 WIB, 0.00
2026-02-26 10:00 WIB, 0.00
2026-02-26 13:00 WIB, 0.00
2026-02-26 16:00 WIB, 0.00
2026-02-26 19:00 WIB, 0.00
2026-02-26 22:00 WIB, 0.00
2026-02-27 01:00 WIB, 0.00
