      Datetime      ,  Rain (mm)
2026-03-23 01:00 WIB, 0.00
2026-03-23 04:00 WIB, 0.00
2026-03-23 07:00 WIB, 0.00
2026-03-23 10:00 WIB, 0.00
2026-03-23 13:00 WIB, 0.00
2026-03-23 16:00 WIB, 1.44
2026-03-23 19:00 WIB, 2.67
2026-03-23 22:00 WIB, 0.15
2026-03-24 01:00 WIB, 0.00
2026-03-24 04:00 WIB, 0.00
2026-03-24 07:00 WIB, 0.00
2026-03-24 10:00 WIB, 0.00
2026-03-24 13:00 WIB, 0.00
2026-03-24 16:00 WIB, 0.88
2026-03-24 19:00 WIB, 2.00
2026-03-24 22:00 WIB, 0.58
2026-03-25 01:00 WIB, 0.00
2026-03-25 04:00 WIB, 0.00
2026-03-25 07:00 WIB, 0.00
2026-03-25 10:00 WIB, 0.00
2026-03-25 13:00 WIB, 2.57
2026-03-25 16:00 WIB, 1.21
2026-03-25 19:00 WIB, 0.43
2026-03-25 22:00 WIB, 0.08
2026-03-26 01:00 WIB, 0.00
2026-03-26 04:00 WIB, 0.00
2026-03-26 07:00 WIB, 0.05
2026-03-26 10:00 WIB, 0.06
2026-03-26 13:00 WIB, 0.89
2026-03-26 16:00 WIB, 0.98
2026-03-26 19:00 WIB, 0.26
2026-03-26 22:00 WIB, 0.89
2026-03-27 01:00 WIB, 0.37
2026-03-27 04:00 WIB, 2.22
2026-03-27 07:00 WIB, 0.15
2026-03-27 10:00 WIB, 0.78
2026-03-27 13:00 WIB, 3.32
2026-03-27 16:00 WIB, 3.37
2026-03-27 19:00 WIB, 0.00
2026-03-27 22:00 WIB, 0.00
2026-03-28 01:00 WIB, 0.00
