      Datetime      ,  Rain (mm)
2026-03-06 01:00 WIB, 0.00
2026-03-06 04:00 WIB, 0.01
2026-03-06 07:00 WIB, 0.00
2026-03-06 10:00 WIB, 0.36
2026-03-06 13:00 WIB, 4.98
2026-03-06 16:00 WIB, 3.15
2026-03-06 19:00 WIB, 0.53
2026-03-06 22:00 WIB, 0.00
2026-03-07 01:00 WIB, 0.79
2026-03-07 04:00 WIB, 1.57
2026-03-07 07:00 WIB, 0.79
2026-03-07 10:00 WIB, 2.25
2026-03-07 13:00 WIB, 5.54
2026-03-07 16:00 WIB, 2.17
2026-03-07 19:00 WIB, 1.73
2026-03-07 22:00 WIB, 0.00
2026-03-08 01:00 WIB, 0.00
2026-03-08 04:00 WIB, 0.00
2026-03-08 07:00 WIB, 0.00
2026-03-08 10:00 WIB, 0.00
2026-03-08 13:00 WIB, 1.53
2026-03-08 16:00 WIB, 4.09
2026-03-08 19:00 WIB, 1.50
2026-03-08 22:00 WIB, 0.21
2026-03-09 01:00 WIB, 0.04
2026-03-09 04:00 WIB, 0.00
2026-03-09 07:00 WIB, 0.00
2026-03-09 10:00 WIB, 0.24
2026-03-09 13:00 WIB, 0.18
2026-03-09 16:00 WIB, 0.97
2026-03-09 19:00 WIB, 0.69
2026-03-09 22:00 WIB, 0.00
2026-03-10 01:00 WIB, 0.00
2026-03-10 04:00 WIB, 0.00
2026-03-10 07:00 WIB, 0.00
2026-03-10 10:00 WIB, 0.00
2026-03-10 13:00 WIB, 0.00
2026-03-10 16:00 WIB, 0.00
2026-03-10 19:00 WIB, 0.00
2026-03-10 22:00 WIB, 0.00
2026-03-11 01:00 WIB, 0.00
