      Datetime      ,  Rain (mm)
2026-02-22 13:00 WIB, 3.32
2026-02-22 16:00 WIB, 3.35
2026-02-22 19:00 WIB, 0.52
2026-02-22 22:00 WIB, 0.48
2026-02-23 01:00 WIB, 2.73
2026-02-23 04:00 WIB, 0.02
2026-02-23 07:00 WIB, 0.00
2026-02-23 10:00 WIB, 0.72
2026-02-23 13:00 WIB, 4.63
2026-02-23 16:00 WIB, 3.49
2026-02-23 19:00 WIB, 0.50
2026-02-23 22:00 WIB, 0.00
2026-02-24 01:00 WIB, 0.00
2026-02-24 04:00 WIB, 0.00
2026-02-24 07:00 WIB, 0.00
2026-02-24 10:00 WIB, 0.00
2026-02-24 13:00 WIB, 1.54
2026-02-24 16:00 WIB, 5.66
2026-02-24 19:00 WIB, 1.71
2026-02-24 22:00 WIB, 0.00
2026-02-25 01:00 WIB, 0.00
2026-02-25 04:00 WIB, 0.00
2026-02-25 07:00 WIB, 0.00
2026-02-25 10:00 WIB, 0.00
2026-02-25 13:00 WIB, 0.00
2026-02-25 16:00 WIB, 0.00
2026-02-25 19:00 WIB, 0.00
2026-02-25 22:00 WIB, 0.00
2026-02-26 01:00 WIB, 0.00
2026-02-26 04:00 WIB, 0.00
2026-02-26 07:00 WIB, 0.00
2026-02-26 10:00 WIB, 0.00
2026-02-26 13:00 WIB, 0.00
2026-02-26 16:00 WIB, 0.00
2026-02-26 19:00 WIB, 0.00
2026-02-26 22:00 WIB, 0.00
2026-02-27 01:00 WIB, 0.00
2026-02-27 04:00 WIB, 0.00
2026-02-27 07:00 WIB, 0.00
2026-02-27 10:00 WIB, 0.00
2026-02-27 13:00 WIB, 0.00
