      Datetime      ,  Rain (mm)
2026-03-17 13:00 WIB, 0.02
2026-03-17 16:00 WIB, 0.05
2026-03-17 19:00 WIB, 10.60
2026-03-17 22:00 WIB, 10.08
2026-03-18 01:00 WIB, 0.69
2026-03-18 04:00 WIB, 0.09
2026-03-18 07:00 WIB, 0.00
2026-03-18 10:00 WIB, 0.00
2026-03-18 13:00 WIB, 0.03
2026-03-18 16:00 WIB, 0.98
2026-03-18 19:00 WIB, 9.97
2026-03-18 22:00 WIB, 1.54
2026-03-19 01:00 WIB, 7.13
2026-03-19 04:00 WIB, 2.54
2026-03-19 07:00 WIB, 0.25
2026-03-19 10:00 WIB, 0.00
2026-03-19 13:00 WIB, 0.00
2026-03-19 16:00 WIB, 4.30
2026-03-19 19:00 WIB, 5.64
2026-03-19 22:00 WIB, 2.60
2026-03-20 01:00 WIB, 1.82
2026-03-20 04:00 WIB, 0.00
2026-03-20 07:00 WIB, 0.00
2026-03-20 10:00 WIB, 0.00
2026-03-20 13:00 WIB, 5.20
2026-03-20 16:00 WIB, 9.07
2026-03-20 19:00 WIB, 6.06
2026-03-20 22:00 WIB, 7.74
2026-03-21 01:00 WIB, 0.00
2026-03-21 04:00 WIB, 0.00
2026-03-21 07:00 WIB, 0.00
2026-03-21 10:00 WIB, 0.00
2026-03-21 13:00 WIB, 0.00
2026-03-21 16:00 WIB, 13.95
2026-03-21 19:00 WIB, 1.68
2026-03-21 22:00 WIB, 0.00
2026-03-22 01:00 WIB, 0.00
2026-03-22 04:00 WIB, 0.00
2026-03-22 07:00 WIB, 0.00
2026-03-22 10:00 WIB, 0.00
2026-03-22 13:00 WIB, 0.00
