      Datetime      ,  Rain (mm)
2026-02-04 01:00 WIB, 1.81
2026-02-04 04:00 WIB, 0.95
2026-02-04 07:00 WIB, 0.13
2026-02-04 10:00 WIB, 0.10
2026-02-04 13:00 WIB, 3.79
2026-02-04 16:00 WIB, 3.59
2026-02-04 19:00 WIB, 0.47
2026-02-04 22:00 WIB, 0.00
2026-02-05 01:00 WIB, 0.07
2026-02-05 04:00 WIB, 0.18
2026-02-05 07:00 WIB, 0.00
2026-02-05 10:00 WIB, 0.00
2026-02-05 13:00 WIB, 1.42
2026-02-05 16:00 WIB, 1.66
2026-02-05 19:00 WIB, 0.47
2026-02-05 22:00 WIB, 0.00
2026-02-06 01:00 WIB, 0.03
2026-02-06 04:00 WIB, 0.02
2026-02-06 07:00 WIB, 0.08
2026-02-06 10:00 WIB, 0.02
2026-02-06 13:00 WIB, 2.60
2026-02-06 16:00 WIB, 2.86
2026-02-06 19:00 WIB, 0.01
2026-02-06 22:00 WIB, 0.00
2026-02-07 01:00 WIB, 0.00
2026-02-07 04:00 WIB, 0.01
2026-02-07 07:00 WIB, 0.00
2026-02-07 10:00 WIB, 0.00
2026-02-07 13:00 WIB, 0.28
2026-02-07 16:00 WIB, 5.76
2026-02-07 19:00 WIB, 0.00
2026-02-07 22:00 WIB, 0.00
2026-02-08 01:00 WIB, 0.00
2026-02-08 04:00 WIB, 0.00
2026-02-08 07:00 WIB, 0.00
2026-02-08 10:00 WIB, 0.00
2026-02-08 13:00 WIB, 0.00
2026-02-08 16:00 WIB, 0.00
2026-02-08 19:00 WIB, 0.00
2026-02-08 22:00 WIB, 0.00
2026-02-09 01:00 WIB, 0.00
