      Datetime      ,  Rain (mm)
2026-02-09 13:00 WIB, 4.09
2026-02-09 16:00 WIB, 4.68
2026-02-09 19:00 WIB, 0.00
2026-02-09 22:00 WIB, 0.00
2026-02-10 01:00 WIB, 0.00
2026-02-10 04:00 WIB, 0.00
2026-02-10 07:00 WIB, 0.00
2026-02-10 10:00 WIB, 0.00
2026-02-10 13:00 WIB, 1.10
2026-02-10 16:00 WIB, 2.97
2026-02-10 19:00 WIB, 1.22
2026-02-10 22:00 WIB, 0.16
2026-02-11 01:00 WIB, 0.01
2026-02-11 04:00 WIB, 0.00
2026-02-11 07:00 WIB, 0.00
2026-02-11 10:00 WIB, 0.00
2026-02-11 13:00 WIB, 0.00
2026-02-11 16:00 WIB, 1.62
2026-02-11 19:00 WIB, 0.66
2026-02-11 22:00 WIB, 0.00
2026-02-12 01:00 WIB, 0.00
2026-02-12 04:00 WIB, 0.00
2026-02-12 07:00 WIB, 0.00
2026-02-12 10:00 WIB, 0.00
2026-02-12 13:00 WIB, 0.00
2026-02-12 16:00 WIB, 2.03
2026-02-12 19:00 WIB, 0.00
2026-02-12 22:00 WIB, 0.00
2026-02-13 01:00 WIB, 0.00
2026-02-13 04:00 WIB, 0.00
2026-02-13 07:00 WIB, 0.00
2026-02-13 10:00 WIB, 0.19
2026-02-13 13:00 WIB, 1.06
2026-02-13 16:00 WIB, 1.01
2026-02-13 19:00 WIB, 0.00
2026-02-13 22:00 WIB, 0.00
2026-02-14 01:00 WIB, 0.02
2026-02-14 04:00 WIB, 0.61
2026-02-14 07:00 WIB, 0.00
2026-02-14 10:00 WIB, 0.00
2026-02-14 13:00 WIB, 0.00
