      Datetime      ,  Rain (mm)
2026-02-16 01:00 WIB, 0.00
2026-02-16 04:00 WIB, 0.00
2026-02-16 07:00 WIB, 0.00
2026-02-16 10:00 WIB, 0.40
2026-02-16 13:00 WIB, 6.74
2026-02-16 16:00 WIB, 4.12
2026-02-16 19:00 WIB, 2.37
2026-02-16 22:00 WIB, 0.39
2026-02-17 01:00 WIB, 0.00
2026-02-17 04:00 WIB, 0.00
2026-02-17 07:00 WIB, 0.00
2026-02-17 10:00 WIB, 0.42
2026-02-17 13:00 WIB, 2.24
2026-02-17 16:00 WIB, 0.19
2026-02-17 19:00 WIB, 0.00
2026-02-17 22:00 WIB, 0.00
2026-02-18 01:00 WIB, 3.63
2026-02-18 04:00 WIB, 3.18
2026-02-18 07:00 WIB, 1.57
2026-02-18 10:00 WIB, 0.38
2026-02-18 13:00 WIB, 0.16
2026-02-18 16:00 WIB, 0.00
2026-02-18 19:00 WIB, 0.00
2026-02-18 22:00 WIB, 0.00
2026-02-19 01:00 WIB, 0.21
2026-02-19 04:00 WIB, 0.16
2026-02-19 07:00 WIB, 0.00
2026-02-19 10:00 WIB, 0.00
2026-02-19 13:00 WIB, 0.93
2026-02-19 16:00 WIB, 1.17
2026-02-19 19:00 WIB, 0.00
2026-02-19 22:00 WIB, 0.00
2026-02-20 01:00 WIB, 0.00
2026-02-20 04:00 WIB, 0.00
2026-02-20 07:00 WIB, 0.00
2026-02-20 10:00 WIB, 0.65
2026-02-20 13:00 WIB, 2.03
2026-02-20 16:00 WIB, 0.00
2026-02-20 19:00 WIB, 0.00
2026-02-20 22:00 WIB, 0.09
2026-02-21 01:00 WIB, 1.02
